name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
binary-trees,OCaml,2,12,784,0.024,0,0,0% 0% 0% 100%,0.044
binary-trees,OCaml,2,16,784,1.352,50292,0,0% 1% 3% 99%,1.371
binary-trees,OCaml,2,20,784,35.000,101028,0,0% 0% 0% 100%,35.074
binary-trees,Scala,4,12,494,0.312,216,0,3% 0% 3% 100%,0.316
binary-trees,Scala,4,16,494,1.132,154124,0,1% 2% 1% 100%,1.141
binary-trees,Scala,4,20,494,18.088,499500,0,2% 0% 0% 100%,18.114
binary-trees-redux,Java 7,2,12,607,0.140,0,0,0% 7% 0% 100%,0.144
binary-trees-redux,Java 7,2,16,607,0.916,54068,0,0% 0% 2% 100%,0.919
binary-trees-redux,Java 7,2,20,607,303.368,133424,0,0% 0% 0% 100%,303.617
binary-trees-redux,Clojure,1,12,661,10.372,112652,0,0% 0% 0% 100%,10.386
binary-trees-redux,Clojure,1,16,661,11.808,127636,0,0% 0% 0% 100%,11.822
binary-trees-redux,Clojure,1,20,661,62.280,245096,0,2% 0% 0% 100%,62.342
binary-trees-redux,Haskell GHC,1,12,521,0.056,0,0,0% 0% 17% 100%,0.058
binary-trees-redux,Haskell GHC,1,16,521,0.780,67340,0,0% 0% 3% 99%,0.783
binary-trees-redux,Haskell GHC,1,20,521,26.086,104300,0,0% 0% 0% 100%,26.104
binary-trees-redux,Ruby JRuby,1,12,412,5.180,122792,0,0% 0% 0% 100%,5.197
binary-trees-redux,Ruby JRuby,1,16,412,12.608,578788,0,1% 0% 1% 100%,12.641
binary-trees-redux,Ruby JRuby,1,20,412,325.132,862300,0,1% 0% 0% 100%,325.478
binary-trees-redux,Scala,4,12,498,0.304,248,0,0% 3% 6% 97%,0.31
binary-trees-redux,Scala,4,16,498,1.064,58288,0,1% 0% 2% 100%,1.071
binary-trees-redux,Scala,4,20,498,361.216,137180,0,0% 0% 0% 100%,361.461
binary-trees-redux,Lisp SBCL,2,12,649,0.048,0,0,17% 0% 0% 100%,0.051
binary-trees-redux,Lisp SBCL,2,16,649,0.764,21644,0,0% 0% 1% 100%,0.767
binary-trees-redux,Lisp SBCL,2,20,649,23.452,198000,0,0% 0% 0% 100%,23.493
chameneos-redux,Python 3,2,60000,866,2.600,4764,0,0% 0% 0% 96%,2.706
chameneos-redux,Python 3,2,600000,866,25.770,4768,0,0% 0% 0% 100%,25.881
chameneos-redux,Python 3,2,6000000,866,258.912,4760,0,0% 0% 0% 100%,259.101
chameneos-redux,Lisp SBCL,3,60000,2907,0.140,0,0,0% 0% 0% 100%,0.145
chameneos-redux,Lisp SBCL,3,600000,2907,1.244,4732,0,0% 0% 0% 100%,1.247
chameneos-redux,Lisp SBCL,3,6000000,2907,12.252,4732,0,0% 0% 0% 100%,12.258
chameneos-redux,Java 7,1,60000,1770,0.248,248,0,4% 0% 7% 96%,0.263
chameneos-redux,Java 7,1,600000,1770,0.596,15704,0,2% 2% 3% 100%,0.601
chameneos-redux,Java 7,1,6000000,1770,3.436,17656,0,1% 1% 1% 100%,3.441
chameneos-redux,Erlang HiPE,1,60000,734,0.240,548,0,0% 0% 4% 100%,0.246
chameneos-redux,Erlang HiPE,1,600000,734,1.204,7872,0,1% 2% 0% 100%,1.211
